building_type,modifier_category,modifier_name,current_effect,effect_resources_changed,colonial_rename_suggestion,design_notes
Resort,Technology,Architecture,+1 happiness,happiness,Spa Construction,Fashionable resort architecture
Resort,Law,Pacifist Sanctuaries,+1 happiness,happiness,Right of Rest,Law protecting leisure — radical colonial concept
Resort,Tradition,Humble Folk,+1 happiness,happiness,Common Respite,Rest for ordinary working people
Fortress,Tradition,Agrarian Bastions,+1 food,food,Garrison Farm,Soldiers farm the fortress grounds
Fortress,Tradition,Martial Heritage,+1 defensiveness,defensiveness,Star Fort Tradition,Vauban earthwork fortification expertise
Fortress,Technology,Engineering,+1 defensiveness,defensiveness,Military Engineering,Continental Army engineers — Kosciuszko at West Point
Fortress,Law,Military Engineers,+1 defensiveness,defensiveness,Engineer Corps,Dedicated fortification engineers
Courthouse,NOTE,BASE BUILDING,+1 mandate per level / -1 dollars -1 culture -1 wood per level,mandate+costs,Courthouse,The republic's legitimacy engine — mandate from civic investment
Courthouse,Technology,Statecraft,+1 mandate / +1 science / -1 dollars cost,mandate+science+dollars cost,Constitutional Studies,Governance theory becomes law — Montesquieu and Locke read in colonial courthouses
Courthouse,Technology,Alphabet,+1 science / +1 mandate,science+mandate,Common Literacy,A literate citizenry understands its rights — and demands them at the courthouse
Courthouse,Law,Philosopher Kings,+1 influence / +1 mandate,influence+mandate,Philosopher-Statesmen,Jefferson / Madison / Adams as philosopher-judges — learned governance lifts influence
Courthouse,Law,Clerical Administration,+1 culture,culture,Parish Records Act,Church records absorbed into legal records — culture from civic continuity
Courthouse,Law,Freedom of Speech,+1 happiness / +1 influence,happiness+influence,Free Speech Act,The courthouse protects the right to speak — citizens are happier and more engaged
Courthouse,Governor,ADMINISTRATOR (L1),+1 mandate,mandate,Circuit Judge (L1),Riding judge carries law to frontier communities — mandate on horseback
Courthouse,Governor,ADMINISTRATOR (L2),+2 mandate / +1 influence,mandate+influence,Circuit Judge (L2),Established circuit judge builds regional legal reputation
Courthouse,Governor,ADMINISTRATOR (L3),+3 mandate / +2 influence / +1 happiness,mandate+influence+happiness,Circuit Judge (L3),Senior judge as civic pillar — trust in law becomes trust in the republic
Courthouse,Governor,BISHOP (L1),+1 mandate,mandate,Magistrate (L1),Local magistrate handles minor cases — the republic's first line of civic order
Courthouse,Governor,BISHOP (L2),+2 mandate / +1 culture,mandate+culture,Magistrate (L2),Public proceedings build civic culture — law as community theater
Courthouse,Governor,BISHOP (L3),+3 mandate / +2 culture / +1 happiness,mandate+culture+happiness,Magistrate (L3),Senior magistrate as community institution — legitimacy produces happiness
Courthouse,Tradition,Meticulous Organizers,+1 mandate,mandate,Continental Congress Ledgers,Organized legal record-keeping documents the mandate of the people
Courthouse,Tradition,Meritocracy,+1 mandate,mandate,Self-Made Man,Meritocratic courts reward competence not birth — mandate from earned standing
Courthouse,Belief,Valued Idolatry,+1 culture / +1 mandate,culture+mandate,Civic Pride,Pride in the courthouse as civic institution — the building itself generates culture
Courthouse,Belief,JERRIWIX,-1 corruption / +1 mandate,corruption+mandate,Civic Order Faith,Faith in honest governance — clean courts reduce corruption and boost mandate
Courthouse,Spell,Foresight,+2 mandate / -6 magic cost,mandate+magic cost,Prophetic Ruling,The judge sees the outcome before the trial — mandate from swift certain justice
Courthouse,Spell,Omniscient Direction,+2 culture / +5 mandate / -15 magic cost,culture+mandate+magic cost,Unanimous Verdict,Perfect civic alignment — the community trusts the court completely
